Matric Number,Gender,Current academic level,Preferred living environment,Organize personal space frequency,Productive environment,Atmosphere created,Invite friends frequency,Comfortable with roommate bringing guests,Sleep lights preference,Fan speed preference,Preferred study time,Okay with roommate studying late night
2501169,Female,100,Comfortable with a bit of clutter,Daily,Balanced,Energetic,Often,Yes,Must be OFF,Very high,Late night,It depends
21CF039968,Male,500,Comfortable with a bit of clutter,Daily,Quiet with occasional activity,Very calm,Never,No,Sometimes ON,Very high,Late night,Yes
21DA037105,Female,500,Flexible/ not particular,Occasionally,Lively with some quiet moments,Calm,Often,Sometimes,Prefer OFF,Medium,Afternoon,No
2502939,Female,100,Flexible/ not particular,Daily,Balanced,Very calm,Very often,No,Prefer OFF,Low,Afternoon,Yes
23CE039770,Male,300,Flexible/ not particular,A few times a week,Lively with some quiet moments,Energetic,Occasionally,Yes,Prefer OFF,High,Evening,No
22BD030536,Female,400,Flexible/ not particular,Occasionally,Lively with some quiet moments,Energetic,Often,No,Must be OFF,Low,Evening,Yes
21CM032861,Female,500,Flexible/ not particular,A few times a week,Balanced,Calm,Often,No,Prefer OFF,Medium,Morning,Yes
2502467,Female,100,Very organized,Occasionally,Lively with some quiet moments,Very calm,Never,No,Sometimes ON,Medium,Afternoon,It depends
24CG037489,Male,200,Generally tidy,A few times a week,Balanced,Calm,Rarely,No,Always ON,Very high,Late night,No
2502082,Female,100,Comfortable with a bit of clutter,Daily,Quiet with occasional activity,Calm,Rarely,No,Always ON,Low,Evening,Yes
22CG033138,Male,400,Very organized,Occasionally,Balanced,Energetic,Occasionally,Sometimes,Always ON,Low,Late night,Yes
23CG028821,Female,300,Very organized,Weekly,Lively with some quiet moments,Calm,Never,Sometimes,Always ON,Very high,Evening,No
22CB035811,Male,400,Generally tidy,A few times a week,Quiet with occasional activity,Energetic,Often,Yes,Always ON,Low,Late night,No
2502387,Male,100,Flexible/ not particular,Never,Lively with some quiet moments,Energetic,Rarely,Sometimes,Always ON,Medium,Afternoon,It depends
24DC036701,Female,200,Very organized,A few times a week,Quiet with occasional activity,Very calm,Never,No,Sometimes ON,Medium,Evening,It depends
24AA028931,Male,200,Comfortable with a bit of clutter,Occasionally,Lively with some quiet moments,Energetic,Often,Sometimes,Prefer OFF,Very high,Afternoon,It depends
24CA029312,Male,200,Very organized,Occasionally,Balanced,Very calm,Occasionally,No,Sometimes ON,Medium,Evening,Yes
23DB031044,Male,300,Generally tidy,Occasionally,Lively with some quiet moments,Energetic,Often,Sometimes,Must be OFF,High,Late night,No
2502586,Male,100,Flexible/ not particular,Weekly,Quiet with occasional activity,Very calm,Occasionally,No,Sometimes ON,Very high,Evening,It depends
22CB029113,Male,400,Very organized,A few times a week,Quiet with occasional activity,Very calm,Often,No,Must be OFF,Low,Evening,Yes
21CE031853,Male,500,Flexible/ not particular,Daily,Balanced,Calm,Often,Sometimes,Prefer OFF,Medium,Evening,It depends
22AM029964,Male,400,Flexible/ not particular,Weekly,Quiet with occasional activity,Very calm,Rarely,Sometimes,Sometimes ON,High,Late night,Yes
21DC037333,Male,500,Generally tidy,Occasionally,Quiet with occasional activity,Very calm,Occasionally,No,Always ON,High,Afternoon,No
21CM037485,Male,500,Generally tidy,Never,Lively with some quiet moments,Energetic,Rarely,Yes,Must be OFF,Very high,Late night,No
2501179,Female,100,Comfortable with a bit of clutter,Daily,Balanced,Very calm,Rarely,Yes,Must be OFF,Medium,Evening,It depends
22CG038147,Male,400,Very organized,Occasionally,Quiet with occasional activity,Calm,Very often,Yes,Prefer OFF,Low,Evening,Yes
22AB034868,Female,400,Generally tidy,Weekly,Quiet with occasional activity,Very calm,Rarely,No,Must be OFF,Medium,Afternoon,Yes
22CE037562,Female,400,Generally tidy,Never,Lively with some quiet moments,Calm,Occasionally,Sometimes,Always ON,Very high,Evening,No
21CB036565,Male,500,Very organized,Weekly,Lively with some quiet moments,Energetic,Never,Sometimes,Must be OFF,High,Evening,Yes
21BM032272,Female,500,Generally tidy,Occasionally,Lively with some quiet moments,Calm,Occasionally,No,Must be OFF,Medium,Morning,Yes
23CM038972,Male,300,Flexible/ not particular,Occasionally,Quiet with occasional activity,Energetic,Never,No,Sometimes ON,High,Evening,Yes
22CF033147,Male,400,Flexible/ not particular,Occasionally,Balanced,Calm,Rarely,Yes,Sometimes ON,Medium,Afternoon,It depends
2501960,Female,100,Generally tidy,Daily,Lively with some quiet moments,Energetic,Very often,No,Prefer OFF,High,Evening,It depends
23CD034484,Female,300,Very organized,Weekly,Balanced,Calm,Often,Yes,Always ON,Low,Evening,No
23AA039004,Male,300,Flexible/ not particular,Daily,Lively with some quiet moments,Energetic,Very often,Sometimes,Sometimes ON,Medium,Afternoon,Yes
2501647,Male,100,Very organized,Occasionally,Balanced,Very calm,Often,Sometimes,Sometimes ON,Medium,Afternoon,Yes
24CD035491,Female,200,Very organized,Never,Balanced,Energetic,Very often,Yes,Sometimes ON,High,Evening,Yes
23BM029188,Female,300,Comfortable with a bit of clutter,A few times a week,Quiet with occasional activity,Energetic,Never,Sometimes,Must be OFF,Medium,Late night,No
21CG035508,Male,500,Very organized,Occasionally,Lively with some quiet moments,Energetic,Never,Yes,Always ON,Medium,Late night,No
22CB037224,Female,400,Very organized,Occasionally,Lively with some quiet moments,Very calm,Never,Sometimes,Always ON,Very high,Late night,Yes
23AB029200,Male,300,Flexible/ not particular,Never,Quiet with occasional activity,Energetic,Rarely,Yes,Always ON,High,Late night,Yes
21CA031492,Male,500,Generally tidy,Daily,Lively with some quiet moments,Energetic,Occasionally,Sometimes,Prefer OFF,Medium,Afternoon,It depends
24CA032345,Male,200,Generally tidy,A few times a week,Lively with some quiet moments,Very calm,Never,Yes,Always ON,Medium,Evening,Yes
22AA033718,Female,400,Flexible/ not particular,Occasionally,Lively with some quiet moments,Very calm,Rarely,Sometimes,Prefer OFF,Low,Morning,Yes
2501824,Female,100,Flexible/ not particular,Never,Balanced,Energetic,Very often,Yes,Always ON,Medium,Evening,Yes
24DC032002,Male,200,Flexible/ not particular,Daily,Lively with some quiet moments,Very calm,Never,Sometimes,Sometimes ON,Medium,Late night,No
21BM032669,Male,500,Flexible/ not particular,Weekly,Lively with some quiet moments,Very calm,Often,Yes,Prefer OFF,High,Late night,No
23AA035179,Female,300,Very organized,Occasionally,Balanced,Calm,Rarely,Yes,Always ON,Low,Evening,It depends
23DB036900,Female,300,Generally tidy,Never,Quiet with occasional activity,Energetic,Very often,No,Sometimes ON,High,Morning,Yes
22CF032956,Female,400,Very organized,A few times a week,Balanced,Calm,Very often,Sometimes,Always ON,Very high,Morning,No
24CB038714,Male,200,Flexible/ not particular,Weekly,Quiet with occasional activity,Calm,Occasionally,No,Prefer OFF,Low,Evening,It depends
24CA028128,Female,200,Generally tidy,A few times a week,Lively with some quiet moments,Energetic,Occasionally,Yes,Must be OFF,High,Evening,No
21CE037086,Male,500,Flexible/ not particular,Occasionally,Lively with some quiet moments,Calm,Rarely,Sometimes,Prefer OFF,Very high,Morning,It depends
24CD038868,Male,200,Flexible/ not particular,Daily,Lively with some quiet moments,Very calm,Often,Yes,Always ON,Low,Evening,Yes
21AB030200,Male,500,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Energetic,Often,No,Prefer OFF,Very high,Evening,Yes
24CD029891,Male,200,Comfortable with a bit of clutter,Weekly,Balanced,Calm,Occasionally,No,Sometimes ON,Low,Late night,Yes
23DC029753,Female,300,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Energetic,Never,Sometimes,Sometimes ON,High,Late night,It depends
22CF037064,Female,400,Generally tidy,Occasionally,Quiet with occasional activity,Very calm,Occasionally,Yes,Must be OFF,Very high,Late night,No
2501087,Male,100,Very organized,Never,Quiet with occasional activity,Very calm,Occasionally,Yes,Sometimes ON,Low,Evening,Yes
23CD032616,Male,300,Very organized,A few times a week,Quiet with occasional activity,Energetic,Occasionally,Yes,Prefer OFF,Low,Morning,Yes
21CB031450,Female,500,Generally tidy,Never,Quiet with occasional activity,Calm,Very often,Yes,Prefer OFF,Very high,Evening,No
22CF033617,Male,400,Flexible/ not particular,Occasionally,Quiet with occasional activity,Energetic,Occasionally,Yes,Always ON,Low,Morning,Yes
22CM039263,Male,400,Comfortable with a bit of clutter,Occasionally,Lively with some quiet moments,Energetic,Very often,Yes,Always ON,Low,Late night,It depends
22CE032325,Male,400,Very organized,Weekly,Lively with some quiet moments,Calm,Often,Yes,Must be OFF,Very high,Afternoon,No
24CA036004,Female,200,Flexible/ not particular,Weekly,Lively with some quiet moments,Calm,Occasionally,Sometimes,Always ON,Very high,Afternoon,No
21CD028832,Female,500,Very organized,Never,Lively with some quiet moments,Very calm,Very often,No,Must be OFF,Low,Afternoon,It depends
23AB038392,Male,300,Very organized,Occasionally,Quiet with occasional activity,Very calm,Often,Sometimes,Prefer OFF,Low,Afternoon,Yes
22AM032533,Male,400,Very organized,Daily,Balanced,Very calm,Never,No,Must be OFF,High,Late night,Yes
22CG028058,Male,400,Generally tidy,Never,Quiet with occasional activity,Calm,Rarely,Yes,Prefer OFF,High,Evening,It depends
22BM030143,Male,400,Generally tidy,Daily,Balanced,Very calm,Very often,Yes,Must be OFF,Medium,Morning,Yes
24CE032291,Male,200,Generally tidy,Weekly,Lively with some quiet moments,Calm,Very often,Yes,Must be OFF,Medium,Late night,No
21AA035239,Female,500,Comfortable with a bit of clutter,Occasionally,Balanced,Energetic,Often,No,Always ON,Medium,Afternoon,No
23CA039561,Male,300,Flexible/ not particular,A few times a week,Lively with some quiet moments,Very calm,Often,Yes,Must be OFF,Medium,Late night,No
2501551,Female,100,Generally tidy,Weekly,Lively with some quiet moments,Energetic,Occasionally,Sometimes,Sometimes ON,Medium,Morning,Yes
22CA028158,Male,400,Flexible/ not particular,Occasionally,Quiet with occasional activity,Energetic,Rarely,No,Prefer OFF,Low,Morning,It depends
22AB029232,Female,400,Generally tidy,Occasionally,Balanced,Calm,Never,Yes,Always ON,High,Morning,Yes
22DC039321,Female,400,Very organized,Occasionally,Lively with some quiet moments,Very calm,Very often,Sometimes,Sometimes ON,Very high,Late night,It depends
24DC030442,Female,200,Generally tidy,Weekly,Lively with some quiet moments,Very calm,Occasionally,Yes,Always ON,Medium,Afternoon,It depends
21CA028590,Male,500,Very organized,Daily,Lively with some quiet moments,Energetic,Often,Sometimes,Must be OFF,High,Afternoon,It depends
23DB034049,Female,300,Generally tidy,Never,Quiet with occasional activity,Calm,Often,Sometimes,Prefer OFF,Very high,Afternoon,It depends
23CB037052,Male,300,Generally tidy,Weekly,Balanced,Very calm,Very often,Sometimes,Must be OFF,High,Late night,Yes
21AA035041,Male,500,Very organized,Never,Lively with some quiet moments,Calm,Often,Sometimes,Always ON,Medium,Late night,Yes
21AA028685,Female,500,Very organized,Never,Lively with some quiet moments,Energetic,Often,Sometimes,Sometimes ON,Very high,Late night,No
24CD033974,Male,200,Comfortable with a bit of clutter,A few times a week,Quiet with occasional activity,Energetic,Occasionally,Sometimes,Prefer OFF,Low,Evening,No
21DC028653,Female,500,Comfortable with a bit of clutter,Weekly,Lively with some quiet moments,Very calm,Often,No,Sometimes ON,Very high,Late night,Yes
24DC033862,Female,200,Flexible/ not particular,Occasionally,Balanced,Very calm,Very often,Yes,Sometimes ON,Medium,Afternoon,It depends
21CM039174,Male,500,Generally tidy,A few times a week,Lively with some quiet moments,Very calm,Occasionally,Yes,Sometimes ON,High,Morning,It depends
24CM038927,Female,200,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Energetic,Rarely,No,Sometimes ON,High,Evening,It depends
21AB033794,Female,500,Generally tidy,Occasionally,Quiet with occasional activity,Calm,Very often,Sometimes,Must be OFF,Low,Afternoon,No
23DA037173,Female,300,Generally tidy,Never,Lively with some quiet moments,Very calm,Rarely,Yes,Prefer OFF,Medium,Late night,It depends
2502142,Female,100,Flexible/ not particular,Never,Balanced,Energetic,Rarely,Sometimes,Always ON,High,Afternoon,It depends
21CB030532,Female,500,Very organized,A few times a week,Quiet with occasional activity,Very calm,Rarely,Sometimes,Must be OFF,Low,Late night,Yes
21DC031878,Female,500,Comfortable with a bit of clutter,A few times a week,Quiet with occasional activity,Energetic,Never,Yes,Must be OFF,High,Morning,No
21DB030662,Female,500,Flexible/ not particular,A few times a week,Balanced,Energetic,Never,Yes,Prefer OFF,Very high,Morning,No
23DA030900,Male,300,Flexible/ not particular,Never,Quiet with occasional activity,Very calm,Very often,Sometimes,Prefer OFF,Low,Late night,No
2501015,Female,100,Very organized,A few times a week,Lively with some quiet moments,Energetic,Occasionally,No,Always ON,Very high,Afternoon,It depends
21CG030938,Female,500,Flexible/ not particular,A few times a week,Lively with some quiet moments,Calm,Rarely,Sometimes,Prefer OFF,Very high,Evening,Yes
23CF033442,Male,300,Flexible/ not particular,Occasionally,Lively with some quiet moments,Very calm,Never,Yes,Always ON,Low,Afternoon,No
24DA034745,Male,200,Generally tidy,Never,Quiet with occasional activity,Very calm,Often,Yes,Always ON,Very high,Afternoon,It depends
2501870,Female,100,Flexible/ not particular,Occasionally,Quiet with occasional activity,Very calm,Never,No,Sometimes ON,Very high,Morning,Yes
23DB032065,Male,300,Very organized,Occasionally,Lively with some quiet moments,Calm,Never,No,Must be OFF,Low,Evening,Yes
21CD030608,Male,500,Generally tidy,Weekly,Balanced,Calm,Often,Yes,Sometimes ON,Very high,Evening,It depends
24DA039489,Female,200,Flexible/ not particular,A few times a week,Balanced,Calm,Rarely,Sometimes,Sometimes ON,Low,Late night,It depends
22AB034267,Male,400,Generally tidy,Never,Balanced,Calm,Often,No,Sometimes ON,Medium,Afternoon,It depends
2501417,Male,100,Very organized,Daily,Lively with some quiet moments,Calm,Often,Sometimes,Must be OFF,Very high,Morning,It depends
24DB035711,Female,200,Generally tidy,Weekly,Lively with some quiet moments,Energetic,Rarely,Sometimes,Always ON,Very high,Afternoon,No
22CM031269,Female,400,Flexible/ not particular,Occasionally,Lively with some quiet moments,Very calm,Often,No,Always ON,High,Morning,No
24DB035541,Male,200,Comfortable with a bit of clutter,Weekly,Quiet with occasional activity,Energetic,Occasionally,No,Must be OFF,Very high,Afternoon,It depends
24BM033000,Female,200,Comfortable with a bit of clutter,Weekly,Quiet with occasional activity,Calm,Never,Sometimes,Must be OFF,Medium,Late night,It depends
22DB031728,Male,400,Generally tidy,Never,Quiet with occasional activity,Very calm,Often,Sometimes,Must be OFF,Very high,Late night,No
21CM028387,Male,500,Generally tidy,Never,Lively with some quiet moments,Calm,Never,Sometimes,Must be OFF,High,Afternoon,Yes
2501742,Male,100,Flexible/ not particular,A few times a week,Balanced,Energetic,Never,Sometimes,Prefer OFF,Medium,Late night,No
24CM034528,Female,200,Flexible/ not particular,A few times a week,Lively with some quiet moments,Calm,Occasionally,Yes,Always ON,Very high,Evening,It depends
23BM032564,Female,300,Flexible/ not particular,Weekly,Lively with some quiet moments,Calm,Often,No,Must be OFF,Medium,Afternoon,It depends
22DB029137,Male,400,Comfortable with a bit of clutter,Daily,Lively with some quiet moments,Energetic,Occasionally,Yes,Always ON,Low,Afternoon,No
21DA032573,Male,500,Generally tidy,Weekly,Lively with some quiet moments,Energetic,Rarely,No,Prefer OFF,High,Late night,No
23BM038510,Female,300,Generally tidy,A few times a week,Balanced,Very calm,Occasionally,No,Prefer OFF,High,Late night,No
2502911,Female,100,Generally tidy,Daily,Balanced,Very calm,Often,Yes,Always ON,Low,Morning,It depends
21AM039133,Female,500,Very organized,A few times a week,Lively with some quiet moments,Energetic,Often,No,Must be OFF,Low,Morning,Yes
24DB036785,Female,200,Very organized,Weekly,Lively with some quiet moments,Calm,Rarely,Sometimes,Must be OFF,Low,Evening,No
23BM028452,Female,300,Flexible/ not particular,Occasionally,Quiet with occasional activity,Very calm,Rarely,No,Sometimes ON,Very high,Evening,It depends
22AB032279,Female,400,Flexible/ not particular,Never,Lively with some quiet moments,Very calm,Often,Yes,Must be OFF,Low,Late night,Yes
21AA037512,Female,500,Comfortable with a bit of clutter,Weekly,Balanced,Very calm,Never,Yes,Sometimes ON,Medium,Late night,It depends
22CD028626,Male,400,Very organized,Daily,Quiet with occasional activity,Energetic,Often,Sometimes,Always ON,High,Late night,No
24AB037774,Female,200,Generally tidy,Weekly,Balanced,Very calm,Often,No,Prefer OFF,Low,Evening,It depends
23AM033663,Female,300,Comfortable with a bit of clutter,Never,Lively with some quiet moments,Very calm,Rarely,Sometimes,Always ON,Low,Morning,Yes
2502094,Male,100,Very organized,Weekly,Balanced,Calm,Never,No,Always ON,Low,Late night,Yes
24AM037932,Male,200,Very organized,Daily,Balanced,Energetic,Never,No,Must be OFF,Low,Evening,It depends
24CA029894,Female,200,Very organized,Daily,Balanced,Calm,Rarely,Sometimes,Sometimes ON,High,Late night,Yes
2501165,Female,100,Very organized,A few times a week,Quiet with occasional activity,Energetic,Never,Yes,Sometimes ON,Very high,Evening,It depends
22DC037446,Male,400,Generally tidy,A few times a week,Balanced,Very calm,Often,No,Sometimes ON,Medium,Evening,Yes
23CM032173,Female,300,Flexible/ not particular,Daily,Lively with some quiet moments,Calm,Occasionally,No,Must be OFF,Low,Late night,No
2501946,Male,100,Generally tidy,Never,Lively with some quiet moments,Energetic,Never,Sometimes,Must be OFF,High,Morning,Yes
24CF035144,Female,200,Generally tidy,Daily,Lively with some quiet moments,Very calm,Often,Sometimes,Must be OFF,Low,Afternoon,It depends
24CG036518,Male,200,Flexible/ not particular,Never,Quiet with occasional activity,Very calm,Occasionally,No,Always ON,Low,Late night,Yes
23DC036821,Male,300,Very organized,A few times a week,Lively with some quiet moments,Very calm,Never,Sometimes,Must be OFF,Very high,Evening,It depends
2502062,Female,100,Comfortable with a bit of clutter,Never,Balanced,Energetic,Often,No,Always ON,High,Morning,Yes
23CM033967,Female,300,Comfortable with a bit of clutter,Never,Quiet with occasional activity,Very calm,Occasionally,Yes,Sometimes ON,High,Morning,No
21AM029146,Male,500,Generally tidy,Weekly,Balanced,Calm,Rarely,Sometimes,Prefer OFF,Medium,Morning,No
21CE033409,Male,500,Very organized,A few times a week,Balanced,Calm,Very often,No,Prefer OFF,High,Late night,No
24CB033143,Male,200,Flexible/ not particular,Never,Lively with some quiet moments,Energetic,Often,Sometimes,Sometimes ON,Low,Morning,No
22CE030041,Male,400,Generally tidy,Weekly,Lively with some quiet moments,Energetic,Never,No,Prefer OFF,Very high,Afternoon,It depends
23CF032920,Female,300,Very organized,Weekly,Balanced,Very calm,Often,Yes,Must be OFF,Medium,Morning,It depends
21CA033067,Female,500,Flexible/ not particular,Weekly,Quiet with occasional activity,Calm,Rarely,Sometimes,Always ON,High,Afternoon,No
2502843,Male,100,Generally tidy,A few times a week,Lively with some quiet moments,Energetic,Often,No,Prefer OFF,Very high,Late night,Yes
22AM033344,Female,400,Flexible/ not particular,A few times a week,Quiet with occasional activity,Energetic,Occasionally,Yes,Always ON,Very high,Morning,Yes
21AM039423,Female,500,Comfortable with a bit of clutter,Daily,Quiet with occasional activity,Energetic,Rarely,Yes,Sometimes ON,Medium,Morning,Yes
22CD037083,Female,400,Generally tidy,Weekly,Balanced,Energetic,Occasionally,No,Must be OFF,Medium,Afternoon,No
24AA031143,Male,200,Very organized,Never,Balanced,Energetic,Very often,Sometimes,Always ON,Medium,Afternoon,No
2501405,Male,100,Very organized,Weekly,Balanced,Calm,Very often,No,Prefer OFF,Low,Afternoon,It depends
22CE034211,Male,400,Generally tidy,Never,Balanced,Very calm,Often,No,Always ON,Medium,Evening,It depends
21CE030851,Male,500,Generally tidy,Daily,Balanced,Energetic,Often,Yes,Always ON,Medium,Evening,It depends
23CB037324,Female,300,Generally tidy,Never,Lively with some quiet moments,Energetic,Occasionally,Yes,Sometimes ON,Medium,Morning,Yes
2502240,Male,100,Generally tidy,Never,Balanced,Energetic,Often,Yes,Prefer OFF,High,Evening,Yes
22AM036977,Female,400,Generally tidy,A few times a week,Balanced,Energetic,Very often,No,Always ON,Very high,Evening,It depends
2501947,Female,100,Flexible/ not particular,Weekly,Lively with some quiet moments,Energetic,Rarely,Yes,Must be OFF,Low,Evening,Yes
24CD032700,Male,200,Comfortable with a bit of clutter,Weekly,Quiet with occasional activity,Calm,Never,No,Must be OFF,Very high,Afternoon,It depends
22CM035043,Male,400,Flexible/ not particular,Daily,Balanced,Calm,Occasionally,No,Always ON,Very high,Evening,No
21DA037502,Male,500,Very organized,Weekly,Balanced,Calm,Often,Sometimes,Sometimes ON,Low,Afternoon,It depends
2501105,Female,100,Flexible/ not particular,Weekly,Lively with some quiet moments,Very calm,Often,Sometimes,Prefer OFF,Medium,Afternoon,Yes
23CE033279,Female,300,Comfortable with a bit of clutter,Occasionally,Quiet with occasional activity,Energetic,Rarely,Yes,Prefer OFF,Very high,Morning,It depends
22BD035238,Female,400,Flexible/ not particular,Weekly,Balanced,Calm,Very often,Yes,Always ON,Medium,Evening,It depends
2501732,Male,100,Generally tidy,Never,Quiet with occasional activity,Energetic,Rarely,No,Always ON,Medium,Morning,No
22CE031501,Female,400,Generally tidy,Daily,Balanced,Energetic,Never,Yes,Sometimes ON,Medium,Morning,No
24CA035752,Female,200,Flexible/ not particular,Never,Quiet with occasional activity,Calm,Often,Yes,Sometimes ON,Low,Afternoon,No
22DA030780,Female,400,Very organized,Daily,Lively with some quiet moments,Very calm,Occasionally,No,Must be OFF,Low,Afternoon,No
21CE029389,Male,500,Flexible/ not particular,Weekly,Quiet with occasional activity,Very calm,Occasionally,Sometimes,Sometimes ON,High,Afternoon,It depends
2501264,Female,100,Generally tidy,A few times a week,Balanced,Very calm,Often,No,Prefer OFF,High,Late night,Yes
22CA038876,Female,400,Comfortable with a bit of clutter,Weekly,Lively with some quiet moments,Energetic,Very often,No,Must be OFF,Very high,Morning,It depends
22CE038145,Female,400,Very organized,Daily,Lively with some quiet moments,Calm,Rarely,Yes,Sometimes ON,Low,Late night,It depends
24BM029530,Female,200,Comfortable with a bit of clutter,A few times a week,Quiet with occasional activity,Energetic,Often,Yes,Always ON,Low,Morning,No
23DB031848,Male,300,Generally tidy,Never,Balanced,Energetic,Never,Yes,Must be OFF,Medium,Morning,Yes
22CE033085,Female,400,Very organized,A few times a week,Lively with some quiet moments,Very calm,Rarely,Sometimes,Always ON,Medium,Afternoon,Yes
21CM031262,Male,500,Flexible/ not particular,Occasionally,Lively with some quiet moments,Energetic,Occasionally,Yes,Prefer OFF,Low,Morning,No
22AA028400,Female,400,Very organized,A few times a week,Quiet with occasional activity,Calm,Often,Sometimes,Must be OFF,Very high,Morning,Yes
23CG032011,Male,300,Very organized,Weekly,Quiet with occasional activity,Very calm,Rarely,Yes,Sometimes ON,Very high,Evening,It depends
23BD038015,Female,300,Comfortable with a bit of clutter,A few times a week,Quiet with occasional activity,Very calm,Often,Sometimes,Always ON,Very high,Evening,No
24DB029193,Female,200,Flexible/ not particular,Never,Quiet with occasional activity,Calm,Never,Sometimes,Sometimes ON,High,Evening,No
24BD034790,Male,200,Flexible/ not particular,A few times a week,Quiet with occasional activity,Energetic,Often,No,Must be OFF,Very high,Evening,Yes
2501442,Female,100,Flexible/ not particular,Occasionally,Quiet with occasional activity,Very calm,Often,No,Must be OFF,Very high,Evening,It depends
22CB031185,Female,400,Very organized,Daily,Balanced,Calm,Never,No,Must be OFF,Low,Morning,Yes
23CF039409,Male,300,Flexible/ not particular,Never,Balanced,Very calm,Never,Sometimes,Prefer OFF,Medium,Morning,Yes
23AM036099,Male,300,Very organized,Never,Lively with some quiet moments,Calm,Never,No,Always ON,High,Late night,No
23AM031997,Female,300,Generally tidy,A few times a week,Quiet with occasional activity,Calm,Never,Yes,Must be OFF,High,Afternoon,It depends
22AA038748,Female,400,Flexible/ not particular,Never,Quiet with occasional activity,Energetic,Rarely,No,Sometimes ON,Very high,Evening,No
24CF028090,Male,200,Generally tidy,Never,Balanced,Very calm,Often,No,Prefer OFF,High,Afternoon,It depends
21DC029746,Female,500,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Very calm,Never,Sometimes,Prefer OFF,High,Evening,No
23DA034965,Female,300,Generally tidy,Daily,Quiet with occasional activity,Calm,Very often,Yes,Sometimes ON,Very high,Evening,No
22CM030881,Male,400,Generally tidy,Weekly,Lively with some quiet moments,Energetic,Occasionally,No,Sometimes ON,Low,Morning,No
22DA039401,Male,400,Comfortable with a bit of clutter,Weekly,Quiet with occasional activity,Calm,Very often,Sometimes,Always ON,Low,Morning,It depends
2502950,Male,100,Comfortable with a bit of clutter,Never,Quiet with occasional activity,Very calm,Often,Yes,Must be OFF,Very high,Afternoon,No
22BD028822,Female,400,Flexible/ not particular,Daily,Balanced,Very calm,Rarely,No,Must be OFF,High,Late night,Yes
2502885,Male,100,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Calm,Rarely,No,Prefer OFF,Low,Late night,It depends
24CM029988,Female,200,Flexible/ not particular,Occasionally,Lively with some quiet moments,Energetic,Very often,No,Sometimes ON,Low,Evening,No
21BD030184,Female,500,Flexible/ not particular,Occasionally,Balanced,Calm,Very often,No,Must be OFF,Very high,Evening,Yes
21DA035612,Male,500,Generally tidy,Daily,Quiet with occasional activity,Energetic,Occasionally,Yes,Prefer OFF,Low,Late night,Yes
24CE036702,Female,200,Flexible/ not particular,Occasionally,Quiet with occasional activity,Energetic,Very often,Sometimes,Prefer OFF,High,Morning,It depends
21CA037755,Male,500,Flexible/ not particular,Occasionally,Lively with some quiet moments,Very calm,Often,No,Must be OFF,Medium,Morning,No
21BM035251,Female,500,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Energetic,Rarely,Sometimes,Must be OFF,High,Afternoon,It depends
22CB039784,Male,400,Flexible/ not particular,Occasionally,Quiet with occasional activity,Calm,Occasionally,Sometimes,Prefer OFF,High,Afternoon,No
22DC036270,Male,400,Comfortable with a bit of clutter,Never,Quiet with occasional activity,Very calm,Rarely,Yes,Sometimes ON,Very high,Morning,Yes
21AM036976,Female,500,Flexible/ not particular,Never,Balanced,Very calm,Never,Sometimes,Must be OFF,High,Evening,Yes
22BD030607,Male,400,Generally tidy,Weekly,Balanced,Calm,Often,Yes,Sometimes ON,High,Late night,Yes
23CF035777,Male,300,Comfortable with a bit of clutter,Occasionally,Balanced,Calm,Occasionally,No,Sometimes ON,Medium,Late night,It depends
24BD032246,Male,200,Flexible/ not particular,Occasionally,Quiet with occasional activity,Energetic,Very often,Yes,Must be OFF,Low,Morning,Yes
23DA032050,Male,300,Very organized,A few times a week,Lively with some quiet moments,Energetic,Never,Yes,Prefer OFF,Very high,Late night,No
22DB038447,Male,400,Very organized,Weekly,Balanced,Calm,Very often,Yes,Always ON,Medium,Late night,Yes
23CD036540,Male,300,Very organized,Occasionally,Balanced,Calm,Occasionally,No,Prefer OFF,Very high,Afternoon,It depends
23BD038268,Male,300,Flexible/ not particular,Occasionally,Balanced,Calm,Never,Yes,Sometimes ON,Medium,Late night,Yes
23CM032499,Male,300,Very organized,Never,Lively with some quiet moments,Very calm,Rarely,No,Prefer OFF,High,Morning,No
21BD029269,Male,500,Very organized,Weekly,Balanced,Calm,Never,No,Always ON,High,Morning,Yes
24CF032681,Male,200,Flexible/ not particular,A few times a week,Quiet with occasional activity,Energetic,Never,No,Prefer OFF,Medium,Evening,Yes
2502464,Female,100,Flexible/ not particular,Occasionally,Quiet with occasional activity,Very calm,Often,Yes,Sometimes ON,Low,Afternoon,No
22CD033502,Female,400,Very organized,A few times a week,Lively with some quiet moments,Calm,Often,Sometimes,Sometimes ON,Very high,Afternoon,It depends
2501329,Male,100,Flexible/ not particular,Daily,Balanced,Very calm,Often,Sometimes,Sometimes ON,Low,Afternoon,It depends
21DC036849,Female,500,Generally tidy,A few times a week,Lively with some quiet moments,Energetic,Often,No,Must be OFF,Low,Evening,It depends
